Group,Week_num,Replicate,C_peptide
CTRL,0,Rep1,0.307117143
CTRL,0,Rep2,0.501323571
CTRL,0,Rep3,0.275502143
CTRL,0,Rep4,0.25292
CTRL,0,Rep5,0.298084286
CTRL,3,Rep1,0.447126429
CTRL,3,Rep2,0.465192143
CTRL,3,Rep3,0.338732143
CTRL,3,Rep4,0.334215714
CTRL,3,Rep5,0.537455
CTRL,6,Rep1,0.429060714
CTRL,6,Rep2,0.916835
CTRL,6,Rep3,0.614234286
CTRL,6,Rep4,0.302600714
CTRL,6,Rep5,0.460675714
CTRL,9,Rep1,0.862637857
CTRL,9,Rep2,0.623267143
CTRL,9,Rep3,0.555520714
CTRL,9,Rep4,0.424544286
CTRL,9,Rep5,0.433577143
CTRL,12,Rep1,1.020712857
CTRL,12,Rep2,1.079426429
CTRL,12,Rep3,0.880703571
CTRL,12,Rep4,1.061360714
CTRL,12,Rep5,2.064007857
IL10-KO,0,Rep1,0.289051429
IL10-KO,0,Rep2,0.343248571
IL10-KO,0,Rep3,0.564553571
IL10-KO,0,Rep4,0.474225
IL10-KO,0,Rep5,0.429060714
IL10-KO,0,Rep6,0.532938571
IL10-KO,0,Rep7,0.361314286
IL10-KO,3,Rep1,0.329699286
IL10-KO,3,Rep2,0.320666429
IL10-KO,3,Rep3,0.293567857
IL10-KO,3,Rep4,0.270985714
IL10-KO,3,Rep5,0.257436429
IL10-KO,3,Rep6,0.293567857
IL10-KO,3,Rep7,0.234854286
IL10-KO,6,Rep1,0.256307321
IL10-KO,6,Rep2,0.231608103
IL10-KO,6,Rep3,0.337461897
IL10-KO,6,Rep4,0.210437344
IL10-KO,6,Rep5,0.337461897
IL10-KO,6,Rep6,0.382343906
IL10-KO,6,Rep7,0.191242522
IL10-KO,9,Rep1,0.293567857
IL10-KO,9,Rep2,0.614234286
IL10-KO,9,Rep3,0.56907
IL10-KO,9,Rep4,0.25292
IL10-KO,9,Rep5,0.356797857
IL10-KO,9,Rep6,0.609717857
IL10-KO,9,Rep7,0.483257857
IL10-KO,12,Rep1,0.265904732
IL10-KO,12,Rep2,0.206908884
IL10-KO,12,Rep3,0.340990357
IL10-KO,12,Rep4,0.228079643
IL10-KO,12,Rep5,0.283547031
IL10-KO,12,Rep6,0.355104196
IL10-KO,12,Rep7,0.355104196
DSS-IL10-KO,0,Rep1,0.56907
DSS-IL10-KO,0,Rep2,0.474225
DSS-IL10-KO,0,Rep3,0.609717857
DSS-IL10-KO,0,Rep4,0.438093571
DSS-IL10-KO,0,Rep5,0.776825714
DSS-IL10-KO,0,Rep6,0.713595714
DSS-IL10-KO,3,Rep1,0.234854286
DSS-IL10-KO,3,Rep2,0.361314286
DSS-IL10-KO,3,Rep3,0.365830714
DSS-IL10-KO,3,Rep4,0.284535
DSS-IL10-KO,3,Rep5,0.343248571
DSS-IL10-KO,3,Rep6,0.343248571
DSS-IL10-KO,6,Rep1,0.245721942
DSS-IL10-KO,6,Rep2,0.259835781
DSS-IL10-KO,6,Rep3,0.390388795
DSS-IL10-KO,6,Rep4,0.217494263
DSS-IL10-KO,6,Rep5,0.276490112
DSS-IL10-KO,6,Rep6,0.238241607
DSS-IL10-KO,9,Rep1,0.234854286
DSS-IL10-KO,9,Rep2,0.25292
DSS-IL10-KO,9,Rep3,0.284535
DSS-IL10-KO,9,Rep4,0.234854286
DSS-IL10-KO,9,Rep5,0.18969
DSS-IL10-KO,9,Rep6,0.185173571
DSS-IL10-KO,12,Rep1,0.238665022
DSS-IL10-KO,12,Rep2,0.231608103
DSS-IL10-KO,12,Rep3,0.200981071
DSS-IL10-KO,12,Rep4,0.241205513
DSS-IL10-KO,12,Rep5,0.252778862
DSS-IL10-KO,12,Rep6,0.332945469
